date,rent,cumulative_rents
2021-02-21,5.41,5.41326
2021-02-22,16.24,21.65304
2021-03-01,5.41,27.066300000000002
2021-03-10,5.41,32.47956
2021-03-15,5.41,37.89282
2021-03-23,7.03,44.920026
2021-03-30,5.46,50.377486
2021-04-02,1.04,51.415468
2021-04-05,5.73,57.14255
2021-04-12,5.73,62.869632
2021-04-19,5.73,68.596714
2021-04-26,5.73,74.323796
2021-05-03,5.73,80.050878
2021-05-10,5.73,85.77796
2021-05-17,5.73,91.50504199999999
2021-05-25,5.73,97.23212399999998
2021-05-31,5.87,103.10221999999999
2021-06-07,6.06,109.163001
2021-06-14,6.28,115.44158999999999
2021-06-22,6.65,122.086756
2021-06-28,6.69,128.778497
2021-07-05,6.69,135.470238
2021-07-12,6.96,142.434575
2021-07-19,7.12,149.552011
2021-07-26,7.26,156.810355
2021-08-02,7.31,164.12506199999999
2021-08-09,7.31,171.43976899999998
2021-08-16,7.31,178.75447599999998
2021-08-23,7.31,186.06918299999998
2021-08-30,7.31,193.38388999999998
2021-09-06,7.31,200.69859699999998
2021-09-13,7.31,208.01330399999998
2021-09-20,7.31,215.32801099999998
2021-09-29,7.31,222.64271799999997
2021-10-05,7.31,229.95742499999997
2021-10-11,7.31,237.27213199999997
2021-10-18,7.46,244.73519099999996
2021-10-25,7.46,252.19824999999994
2021-11-01,7.46,259.66130899999996
2021-11-08,7.46,267.12436799999995
2021-11-16,7.46,274.58742699999993
2021-11-22,7.46,282.0504859999999
2021-11-29,7.46,289.5135449999999
2021-12-06,7.46,296.9766039999999
2021-12-13,7.46,304.4396629999999
2021-12-22,7.46,311.90272199999987
2021-12-27,7.84,319.7390389999999
2022-01-03,7.9,327.6380409999999
2022-01-10,7.9,335.53704299999987
2022-01-17,7.9,343.43604499999987
2022-01-24,8.24,351.6754119999999
2022-01-31,8.4,360.0770139999999
2022-02-07,8.4,368.4760029999999
2022-02-14,8.42,376.8956869999999
2022-02-21,8.79,385.6877559999999
2022-02-28,8.79,394.47982499999995
2022-03-05,12.12,406.59982499999995
2022-03-07,8.83,415.43276499999996
2022-03-14,8.83,424.26570499999997
2022-03-21,8.83,433.098645
2022-03-26,8.15,441.24864499999995
2022-03-28,8.83,450.08158499999996
2022-04-04,9.08,459.160402
2022-04-11,9.44,468.605007
2022-04-18,9.44,478.049612
2022-04-25,9.56,487.61003600000004
2022-05-02,9.71,497.31590000000006
2022-05-07,12.07,509.38590000000005
2022-05-09,10.05,519.434463
2022-05-16,10.05,529.483026
2022-05-23,10.05,539.5315889999999
2022-05-30,11.12,550.6565619999999
2022-06-06,11.1,561.7580739999999
2022-06-13,11.1,572.8595859999998
2022-06-20,11.18,584.0370779999998
2022-06-27,21.43,605.4718779999998
2022-07-04,11.4,616.8744969999998
2022-07-11,11.35,628.2245679999997
2022-07-18,11.48,639.7006089999998
2022-07-25,11.76,651.4640089999998
2022-08-01,11.85,663.3169589999998
2022-08-08,11.97,675.2843769999997
2022-08-15,11.97,687.2517949999997
2022-08-22,11.97,699.2192129999996
2022-08-29,11.97,711.1866309999996
2022-09-05,12.11,723.2992629999995
2022-09-12,12.11,735.4118939999995
2022-09-19,12.11,747.5245259999995
2022-09-26,12.11,759.6371589999994
2022-10-03,12.14,771.7772559999994
2022-10-10,11.97,783.7424189999994
2022-10-17,12.06,795.8058399999993
2022-10-24,12.31,808.1149049999993
2022-10-29,9.1,817.2149049999994
2022-10-31,12.52,829.7338889999994
2022-11-07,12.95,842.6876069999994
2022-11-14,13.11,855.7946029999994
2022-11-21,13.61,869.4063109999994
2022-11-28,13.7,883.1021369999994
2022-12-04,4.02,887.1221369999994
2022-12-05,13.7,900.8208829999994
2022-12-12,13.7,914.5196289999994
2022-12-19,13.7,928.2183749999995
2022-12-26,14.02,942.2357729999994
2023-01-02,12.2,954.4338889999995
2023-01-09,17.01,971.4397949999994
2023-01-16,14.88,986.3199639999995
2023-01-23,15.27,1001.5874409999994
2023-01-30,15.56,1017.1451329999994
2023-02-06,15.75,1032.8980029999993
2023-02-13,15.75,1048.6508729999994
2023-02-20,15.75,1064.4037429999994
2023-02-27,15.75,1080.1566129999994
2023-03-06,15.65,1095.8060059999993
2023-03-13,15.68,1111.4813229999993
2023-03-20,15.95,1127.4275449999993
2023-03-27,15.68,1143.1028619999993
2023-04-03,16.09,1159.1898929999993
2023-04-10,15.91,1175.1006379999992
2023-04-17,15.91,1191.0113829999991
2023-04-24,16.06,1207.073110999999
